3.552485e-08 1.423163e-16
4.860947e-08 1.145348e-06
6.651346e-08 5.025545e-06
9.101191e-08 1.697104e-05
1.245337e-07 4.410300e-05
1.704023e-07 8.731885e-05
2.331655e-07 1.318083e-04
3.190457e-07 1.549800e-04
4.365576e-07 1.453504e-04
5.973519e-07 1.112968e-04
8.173704e-07 7.217417e-05
1.118427e-06 4.282101e-05
1.530369e-06 2.678199e-05
2.094040e-06 2.210076e-05
2.865323e-06 2.497090e-05
3.920688e-06 3.430561e-05
5.364768e-06 5.760678e-05
7.340736e-06 1.254708e-04
1.004450e-05 3.006057e-04
1.374412e-05 6.008601e-04
1.880640e-05 8.960620e-04
2.573323e-05 9.043806e-04
3.521137e-05 5.832038e-04
4.818053e-05 2.336870e-04
6.592654e-05 5.971988e-05
9.020881e-05 9.544452e-06
1.234348e-04 1.020954e-06
1.688987e-04 6.964053e-08
2.311080e-04 3.028054e-09
3.162304e-04 8.529396e-11
4.327054e-04 1.582599e-12
